year,suicides_by_crashing,japanese_cars_sold
1999,87,758
2000,103,863
2001,91,837
2002,112,930
2003,104,830
2004,108,810
2005,113,923
2006,137,1154
2007,131,1183
2008,129,1142
2009,104,829
